Price,close
Ticker,AAPL
Date,
2020-11-16,117.10631561279297
2020-11-17,116.220458984375
2020-11-18,114.89656066894531
2020-11-19,115.49038696289062
2020-11-20,114.22489166259766
2020-11-23,110.82755279541016
2020-11-24,112.11249542236328
2020-11-25,112.94966125488281
2020-11-27,113.49480438232422
2020-11-30,115.88948059082031
2020-12-01,119.4620590209961
2020-12-02,119.81251525878906
2020-12-03,119.67622375488281
2020-12-04,119.00453186035156
2020-12-07,120.46472930908203
2020-12-08,121.07798767089844
2020-12-09,118.54702758789062
2020-12-10,119.96825408935547
2020-12-11,119.1603012084961
2020-12-14,118.54702758789062
2020-12-15,124.48507690429688
2020-12-16,124.41693878173828
2020-12-17,125.28330993652344
2020-12-18,123.2974624633789
2020-12-21,124.8257827758789
2020-12-22,128.37889099121094
2020-12-23,127.48330688476562
2020-12-24,128.46649169921875
2020-12-28,133.06118774414062
2020-12-29,131.28955078125
2020-12-30,130.17005920410156
2020-12-31,129.16737365722656
2021-01-04,125.9744873046875
2021-01-05,127.53199768066406
2021-01-06,123.23905944824219
2021-01-07,127.44438934326172
2021-01-08,128.5443878173828
2021-01-11,125.55587005615234
2021-01-12,125.38066101074219
2021-01-13,127.41516876220703
2021-01-14,125.48771667480469
2021-01-15,123.76471710205078
2021-01-19,124.4364013671875
2021-01-20,128.52491760253906
2021-01-21,133.23641967773438
2021-01-22,135.3780059814453
2021-01-25,139.1257781982422
2021-01-26,139.35940551757812
2021-01-27,138.28863525390625
2021-01-28,133.45059204101562
2021-01-29,128.45677185058594
2021-02-01,130.57887268066406
2021-02-02,131.4063262939453
2021-02-03,130.3842010498047
2021-02-04,133.74256896972656
2021-02-05,133.32826232910156
2021-02-08,133.47450256347656
2021-02-09,132.59710693359375
2021-02-10,131.99266052246094
2021-02-11,131.73916625976562
2021-02-12,131.97311401367188
2021-02-16,129.84791564941406
2021-02-17,127.55680847167969
2021-02-18,126.45521545410156
2021-02-19,126.61116790771484
2021-02-22,122.83826446533203
2021-02-23,122.70178985595703
2021-02-24,122.20458984375
2021-02-25,117.95399475097656
2021-02-26,118.21720886230469
2021-03-01,124.58336639404297
2021-03-02,121.9803466796875
2021-03-03,118.99714660644531
2021-03-04,117.11556243896484
2021-03-05,118.37319946289062
2021-03-08,113.4401626586914
2021-03-09,118.05147552490234
2021-03-10,116.9693603515625
2021-03-11,118.89964294433594
2021-03-12,117.99298095703125
2021-03-15,120.87871551513672
2021-03-16,122.41907501220703
2021-03-17,121.62938690185547
2021-03-18,117.50554656982422
2021-03-19,116.97908020019531
2021-03-22,120.29377746582031
2021-03-23,119.46510314941406
2021-03-24,117.0765609741211
2021-03-25,117.56401824951172
2021-03-26,118.16847229003906
2021-03-29,118.34395599365234
2021-03-30,116.8913345336914
2021-03-31,119.08487701416016
2021-04-01,119.9135513305664
2021-04-05,122.74078369140625
2021-04-06,123.04299926757812
2021-04-07,124.69058990478516
2021-04-08,127.08885955810547
2021-04-09,129.66261291503906
2021-04-12,127.94677734375
2021-04-13,131.0567626953125
2021-04-14,128.71697998046875
2021-04-15,131.12501525878906
2021-04-16,130.7935028076172
2021-04-19,131.45645141601562
2021-04-20,129.76988220214844
2021-04-21,130.15008544921875
2021-04-22,128.6292266845703
2021-04-23,130.94949340820312
2021-04-26,131.33946228027344
2021-04-27,131.01771545410156
2021-04-28,130.2280731201172
2021-04-29,130.13059997558594
2021-04-30,128.1613006591797
2021-05-03,129.2141571044922
2021-05-04,124.641845703125
2021-05-05,124.88558197021484
2021-05-06,126.48441314697266
2021-05-07,127.15826416015625
2021-05-10,123.87701416015625
2021-05-11,122.95904541015625
2021-05-12,119.89263153076172
2021-05-13,122.04106140136719
2021-05-14,124.46292877197266
2021-05-17,123.31059265136719
2021-05-18,121.92385864257812
2021-05-19,121.76763153076172
2021-05-20,124.32621002197266
2021-05-21,122.49027252197266
2021-05-24,124.12113952636719
2021-05-25,123.92581939697266
2021-05-26,123.87701416015625
2021-05-27,122.34380340576172
2021-05-28,121.68951416015625
2021-06-01,121.36724090576172
2021-06-02,122.12895965576172
2021-06-03,120.64458465576172
2021-06-04,122.93948364257812
2021-06-07,122.94926452636719
2021-06-08,123.76956939697266
2021-06-09,124.15043640136719
2021-06-10,123.15434265136719
2021-06-11,124.36527252197266
2021-06-14,127.42195129394531
2021-06-15,126.60162353515625
2021-06-16,127.0996322631836
2021-06-17,128.7012176513672
2021-06-18,127.40239715576172
2021-06-21,129.19931030273438
2021-06-22,130.83990478515625
2021-06-23,130.56643676757812
2021-06-24,130.28329467773438
2021-06-25,129.99029541015625
2021-06-28,131.6211395263672
2021-06-29,133.13478088378906
2021-06-30,133.7500457763672
2021-07-01,134.0528106689453
2021-07-02,136.67974853515625
2021-07-06,138.6914520263672
2021-07-07,141.18170166015625
2021-07-08,139.88287353515625
2021-07-09,141.70904541015625
2021-07-12,141.1133270263672
2021-07-13,142.2266082763672
2021-07-14,145.65431213378906
2021-07-15,145.0000457763672
2021-07-16,142.9590301513672
2021-07-19,139.11138916015625
2021-07-20,142.7246856689453
2021-07-21,141.9922637939453
2021-07-22,143.35940551757812
2021-07-23,145.07818603515625
2021-07-26,145.49810791015625
2021-07-27,143.3301239013672
2021-07-28,141.58206176757812
